Date,Vol State,Hmm state,True State,Adj CLose,Collective State,XOR,New State
1988-03-24,1,0.0,1.0,150.2100067138672,,State change,0.0
1988-03-25,1,0.0,1.0,147.8399963378906,,,0.0
1988-03-28,1,0.0,1.0,147.2799987792969,,,0.0
1988-03-29,1,0.0,1.0,148.3899993896484,,,0.0
1988-03-30,1,0.0,1.0,147.4199981689453,,,0.0
1988-03-31,1,0.0,1.0,147.9700012207031,,,0.0
1988-04-04,1,0.0,1.0,146.4400024414062,,,0.0
1988-04-05,1,0.0,1.0,147.5299987792969,,,0.0
1988-04-06,1,0.0,1.0,150.8500061035156,,,0.0
1988-04-07,1,0.0,1.0,151.3600006103516,,,0.0
1988-04-08,1,0.0,1.0,153.0800018310547,,,0.0
1988-04-11,1,0.0,1.0,153.5299987792969,,,0.0
1988-04-12,1,0.0,1.0,154.1799926757812,,,0.0
1988-04-13,1,0.0,1.0,154.2100067138672,,,0.0
1988-04-14,1,0.0,1.0,148.2400054931641,,,0.0
1988-04-15,1,1.0,1.0,148.0700073242188,,State change,1.0
1988-04-18,1,1.0,1.0,147.8399963378906,,,1.0
1988-04-19,1,1.0,1.0,147.3699951171875,,,1.0
1988-04-20,1,1.0,1.0,146.3200073242188,,,1.0
1988-04-21,1,1.0,1.0,146.3500061035156,,,1.0
1988-04-22,1,1.0,1.0,148.0500030517578,,,1.0
1988-04-25,1,1.0,1.0,149.1600036621094,,,1.0
1988-04-26,1,1.0,1.0,149.9900054931641,,,1.0
1988-04-27,1,1.0,1.0,150.0299987792969,,,1.0
1988-04-28,1,1.0,1.0,149.5299987792969,,,1.0
1988-04-29,1,1.0,1.0,149.1399993896484,,,1.0
1988-05-02,1,1.0,1.0,149.1699981689453,,,1.0
1988-05-03,1,1.0,1.0,149.9199981689453,,,1.0
1988-05-04,1,1.0,1.0,148.75,,,1.0
1988-05-05,1,1.0,1.0,147.9700012207031,,,1.0
1988-05-06,1,1.0,1.0,147.3500061035156,,,1.0
1988-05-09,1,1.0,1.0,146.6799926757812,,,1.0
1988-05-10,1,1.0,1.0,147.0500030517578,,,1.0
1988-05-11,1,1.0,1.0,144.7200012207031,,,1.0
1988-05-12,1,1.0,1.0,145.0899963378906,,,1.0
1988-05-13,1,1.0,1.0,146.5700073242188,,,1.0
1988-05-16,1,1.0,1.0,147.4299926757812,,,1.0
1988-05-17,1,1.0,1.0,146.0,,,1.0
1988-05-18,1,1.0,1.0,143.8399963378906,,,1.0
1988-05-19,1,1.0,1.0,144.2599945068359,,,1.0
1988-05-20,1,1.0,1.0,144.5099945068359,,,1.0
1988-05-23,1,1.0,1.0,143.3699951171875,,,1.0
1988-05-24,1,1.0,1.0,144.6600036621094,,,1.0
1988-05-25,1,1.0,1.0,144.9400024414062,,,1.0
1988-05-26,1,1.0,1.0,145.4600067138672,,,1.0
1988-05-27,1,1.0,1.0,144.9199981689453,,,1.0
1988-05-31,1,0.0,1.0,149.0899963378906,,State change,0.0
1988-06-01,1,0.0,1.0,151.5500030517578,,,0.0
1988-06-02,1,0.0,1.0,150.8999938964844,,,0.0
